ScientificName,CommonName
Sambucus sp.,Sauco
Sapindus saponaria,Chumbimbo
Schefflera actinophylla,Cheflera
Schinus terebinthifolius,Falso pimiento
Schizolobium parahyba,Tambor
Senna pistaciifolia,Palo bonito
Senna reticulata,Laureño
Senna siamea ,Casia amarilla/carmin
Senna spectabilis,Velero
Simarouba amara,Cedrillo/Amargo
Socratea exorrhiza,Zancona
Solanum cf. macranthum,N/A
Solanum quitoense,Lulo
Spachea herbert-smithii,Aretero
Spathodea campanulata,Tulipan africano/Miona
Spirotheca rosea,Ceiba de tierra fria
Spondias mombin,Ciruelo
Spondias purpurea,Ciruelo
Spondias sp.,Ciruelo
Stemmadenia litoralis,Lechoso/Azuceno/guevas de perro
Stemmadenia sp.,PI
swietenia humilis,swietenia humilis
Swietenia macrophylla,Caoba
Swinglea glutinosa,Limon swingle
Syagrus romanzoffiana,Palma de azucar
Syagrus sancona ,Palma sancona
Syzygium jambos,Pomo blanco
Syzygium malaccense,Pero de agua
Tabebuia donnell-smithii,Guayacan amarillo
Tabebuia rosea,Guayacan rosado
Tabebuia sp.,Guayacan
Tabernaemontana litoralis,Azuceno
Talipariti elatum,Majagua
Tecoma stans,Chirlobirlo
Tectona grandis,Teca
Terminalia catappa,Almendro
Terminalia ivorensis,Muli
Terminalia juarensis,Terminalia juarensis
Terminalia oblonga,N/A
Terminalia sp.,N/A
Terminalia superba,N/A
Theobroma cacao,Cacao
Thevetia ahouai,Guevas de adan
Thevetia ovata,N/A
Tibouchina lepidota,Siete cueros
Tibouchina urvilleana,Siete cueros mexicano
Toxicodendron sp.,Manzanillo
Trachycarpus fortunei,Palma molino de viento
Trattinnickia aspera,Cariaño
Trichanthera gigantea,Quiebrabarrigo/Nacedero
Triplaris americana,Vara santa
Vasconcellea pubescens,Papayuelo
Veitchia montgomeryana,Palma montgomery
Vismia ferruginea,Espadero
Vitex cooperi,Aceituno
Washingtonia filifera,Palma washingtonia
Washingtonia robusta,Palma abanico mexicana
Washingtonia sp.,Palma washingtonia
Wodyetia bifurcata,Palma cola de zorro
Zanthoxylum rhoifolium,Tachuelo
Zygia longifolia,Suribio
